signal_id,id,pair,direction,score,technical_score,sentiment_score,sentiment_adjustment,score_before_sentiment,confidence,tier,rsi,adx,atr,volume_ratio,session,entry_price,sl,tp,risk_reward,spread,timestamp,status,hold_time,eligible_modes,freshness,sentiment_applied,metadata,estimated_win_rate,price_source,price_divergence
GBPUSD_BUY_8ba024cfefa9,GBPUSD_BUY_8ba024cfefa9,GBPUSD,BUY,61.0,61,0.0,0.0,61,MODERATE,B,61.0,31.1,0.00113,0,US,1.33915,1.33632,1.34709,2.8,0.0002,2026-03-09T17:01:20.460576+00:00,OPEN,SWING,"['aggressive', 'conservative']","{'status': 'FRESH', 'age_minutes': 0.0, 'confidence_decay': 100.0}",True,"{'signal_type': 'trend-continuation', 'market_state': 'TRENDING_STRONG', 'timeframe': '15m', 'valid_for_minutes': 240, 'generated_at': '2026-03-09T17:01:20.460576+00:00', 'expires_at': '2026-03-09T21:01:20.460576+00:00', 'session_active': True, 'signal_generator_version': '2.1.6-OPTIMISED', 'atr_stop_multiplier': 2.5, 'atr_target_multiplier': 7.0}",,yfinance_confirmed,0.00011
NZDUSD_BUY_894366989fec,NZDUSD_BUY_894366989fec,NZDUSD,BUY,58.0,58,0.0,0.0,58,MODERATE,B,60.6,28.4,0.00064,0,US,0.59242,0.59083,0.59687,2.8,0.0002,2026-03-09T17:01:20.747087+00:00,OPEN,SWING,"['aggressive', 'conservative']","{'status': 'FRESH', 'age_minutes': 0.0, 'confidence_decay': 100.0}",False,"{'signal_type': 'trend-continuation', 'market_state': 'TRENDING_STRONG', 'timeframe': '15m', 'valid_for_minutes': 240, 'generated_at': '2026-03-09T17:01:20.747087+00:00', 'expires_at': '2026-03-09T21:01:20.747087+00:00', 'session_active': True, 'signal_generator_version': '2.1.6-OPTIMISED', 'atr_stop_multiplier': 2.5, 'atr_target_multiplier': 7.0}",,yfinance_confirmed,0.0002
AUDUSD_BUY_8f3156889f3b,AUDUSD_BUY_8f3156889f3b,AUDUSD,BUY,58.0,58,0.0,0.0,58,MODERATE,B,65.2,48.3,0.00077,0,US,0.70522,0.7033,0.71058,2.8,0.00018,2026-03-09T17:01:21.106908+00:00,OPEN,SWING,"['aggressive', 'conservative']","{'status': 'FRESH', 'age_minutes': 0.0, 'confidence_decay': 100.0}",False,"{'signal_type': 'trend-continuation', 'market_state': 'TRENDING_STRONG', 'timeframe': '15m', 'valid_for_minutes': 240, 'generated_at': '2026-03-09T17:01:21.106908+00:00', 'expires_at': '2026-03-09T21:01:21.106908+00:00', 'session_active': True, 'signal_generator_version': '2.1.6-OPTIMISED', 'atr_stop_multiplier': 2.5, 'atr_target_multiplier': 7.0}",,yfinance_confirmed,0.00031
